+-------+-------+--------+---------+-------+-------+-------+--------+--------+------------+------------+--------------+------------+--------+-------------------------------------------+
| COUNT |  MIN  |  MAX   |   SUM   |  AVG  |  P1   |  P50  |  P99   | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)   | AVG(BODY)  | METHOD |                    URI                    |
+-------+-------+--------+---------+-------+-------+-------+--------+--------+------------+------------+--------------+------------+--------+-------------------------------------------+
|   306 | 0.068 | 10.005 | 764.521 | 2.498 | 0.178 | 2.061 | 10.002 |  1.666 |      0.000 | 769314.000 | 97483903.000 | 318574.846 | GET    | /icons/.+                                 |
|    99 | 0.001 | 10.004 | 389.849 | 3.938 | 0.001 | 0.304 | 10.002 |  4.663 |   1002.000 |  52701.000 |   555236.000 |   5608.444 | GET    | /message                                  |
|    48 | 0.068 | 10.003 | 286.103 | 5.960 | 0.000 | 9.999 | 10.002 |  4.271 |      0.000 |   3023.000 |    57378.000 |   1195.375 | GET    | /fetch                                    |
|    45 | 0.000 | 10.003 |  70.237 | 1.561 | 0.000 | 0.286 | 10.002 |  3.023 |      0.000 |   8904.000 |   168550.000 |   3745.556 | GET    | /history/\d+                              |
|   107 | 0.003 |  3.001 |  51.285 | 0.479 | 0.003 | 0.063 |  3.000 |  0.941 |      0.000 |      0.000 |        0.000 |      0.000 | POST   | /message                                  |
|   238 | 0.001 |  3.001 |  17.360 | 0.073 | 0.000 | 0.010 |  0.464 |  0.295 |      0.000 |     23.000 |      138.000 |      0.580 | POST   | /login                                    |
|    89 | 0.001 |  3.558 |  17.090 | 0.192 | 0.001 | 0.095 |  2.024 |  0.427 |      0.000 |   3064.000 |   261939.000 |   2943.135 | GET    | /channel/\d+                              |
|    21 | 0.001 |  3.001 |  14.179 | 0.675 | 0.001 | 0.200 |  3.000 |  1.057 |      0.000 |     25.000 |       50.000 |      2.381 | POST   | /profile                                  |
|    19 | 0.003 | 10.000 |  13.650 | 0.718 | 0.000 | 0.005 |  2.145 |  2.238 |   3086.000 |   3142.000 |    43166.000 |   2271.895 | GET    | /profile/.+                               |
|    21 | 0.003 |  1.876 |   3.643 | 0.173 | 0.003 | 0.018 |  1.185 |  0.454 |      0.000 |      0.000 |        0.000 |      0.000 | POST   | /register                                 |
|    94 | 0.001 |  0.005 |   0.282 | 0.003 | 0.000 | 0.003 |  0.005 |  0.001 |      0.000 |     25.000 |       50.000 |      0.532 | POST   | /add_channel                              |
|    10 | 0.000 |  0.037 |   0.067 | 0.007 | 0.000 | 0.001 |  0.024 |  0.012 |      0.000 |      0.000 |        0.000 |      0.000 | GET    | /logout                                   |
|     1 | 0.048 |  0.048 |   0.048 | 0.048 | 0.048 | 0.048 |  0.048 |  0.000 |      0.000 |      0.000 |        0.000 |      0.000 | GET    | /initialize                               |
|     3 | 0.001 |  0.024 |   0.026 | 0.009 | 0.001 | 0.001 |  0.001 |  0.011 |    900.000 |    900.000 |     2700.000 |    900.000 | GET    | /login                                    |
|     3 | 0.001 |  0.005 |   0.009 | 0.003 | 0.001 | 0.001 |  0.003 |  0.002 |    883.000 |    883.000 |     2649.000 |    883.000 | GET    | /                                         |
|     3 | 0.001 |  0.006 |   0.008 | 0.003 | 0.001 | 0.001 |  0.001 |  0.002 |    900.000 |    900.000 |     2700.000 |    900.000 | GET    | /register                                 |
|     4 | 0.001 |  0.004 |   0.007 | 0.002 | 0.001 | 0.001 |  0.001 |  0.001 |      0.000 |   3014.000 |     3014.000 |    753.500 | GET    | /add_channel                              |
|    81 | 0.000 |  0.000 |   0.000 | 0.000 | 0.000 | 0.000 |  0.000 |  0.000 |  18028.000 |  18028.000 |  1460268.000 |  18028.000 | GET    | /fonts/glyphicons-halflings-regular.woff2 |
|    81 | 0.000 |  0.000 |   0.000 | 0.000 | 0.000 | 0.000 |  0.000 |  0.000 | 108738.000 | 108738.000 |  8807778.000 | 108738.000 | GET    | /fonts/glyphicons-halflings-regular.svg   |
|    81 | 0.000 |  0.000 |   0.000 | 0.000 | 0.000 | 0.000 |  0.000 |  0.000 |  45404.000 |  45404.000 |  3677724.000 |  45404.000 | GET    | /fonts/glyphicons-halflings-regular.ttf   |
|    81 | 0.000 |  0.000 |   0.000 | 0.000 | 0.000 | 0.000 |  0.000 |  0.000 |  23424.000 |  23424.000 |  1897344.000 |  23424.000 | GET    | /fonts/glyphicons-halflings-regular.woff  |
|    81 | 0.000 |  0.000 |   0.000 | 0.000 | 0.000 | 0.000 |  0.000 |  0.000 |  20127.000 |  20127.000 |  1630287.000 |  20127.000 | GET    | /fonts/glyphicons-halflings-regular.eot   |
|    81 | 0.000 |  0.000 |   0.000 | 0.000 | 0.000 | 0.000 |  0.000 |  0.000 |  46653.000 |  46653.000 |  3778893.000 |  46653.000 | GET    | /js/bootstrap.min.js                      |
|    81 | 0.000 |  0.000 |   0.000 | 0.000 | 0.000 | 0.000 |  0.000 |  0.000 |   4162.000 |   4162.000 |   337122.000 |   4162.000 | GET    | /js/chat.js                               |
|    81 | 0.000 |  0.000 |   0.000 | 0.000 | 0.000 | 0.000 |  0.000 |  0.000 |  86659.000 |  86659.000 |  7019379.000 |  86659.000 | GET    | /js/jquery.min.js                         |
|    81 | 0.000 |  0.000 |   0.000 | 0.000 | 0.000 | 0.000 |  0.000 |  0.000 |  24632.000 |  24632.000 |  1995192.000 |  24632.000 | GET    | /js/tether.min.js                         |
|    81 | 0.000 |  0.000 |   0.000 | 0.000 | 0.000 | 0.000 |  0.000 |  0.000 |    318.000 |    318.000 |    25758.000 |    318.000 | GET    | /favicon.ico                              |
|    81 | 0.000 |  0.000 |   0.000 | 0.000 | 0.000 | 0.000 |  0.000 |  0.000 |   1741.000 |   1741.000 |   141021.000 |   1741.000 | GET    | /css/main.css                             |
|    81 | 0.000 |  0.000 |   0.000 | 0.000 | 0.000 | 0.000 |  0.000 |  0.000 | 150996.000 | 150996.000 | 12230676.000 | 150996.000 | GET    | /css/bootstrap.min.css                    |
+-------+-------+--------+---------+-------+-------+-------+--------+--------+------------+------------+--------------+------------+--------+-------------------------------------------+
